iter	RMSE
0	716917.1869
1	674413.4385
2	639853.573
3	601074.0545
4	565229.4289
5	531379.0043
6	500043.9623
7	478910.4889
8	453301.0735
9	433937.996
10	413103.1444
11	393687.3098
12	373561.5919
13	355690.1902
14	341375.9604
15	323926.5762
16	310385.746
17	297175.7833
18	287041.0007
19	277672.8259
20	262830.7093
21	252639.5122
22	244867.4072
23	237346.1204
24	228243.9147
25	222509.4251
26	215965.8706
27	209687.5028
28	202999.58
29	198004.0332
30	191478.1412
31	186402.3354
32	182419.8952
33	177583.6924
34	173337.4112
35	169720.6731
36	165075.8973
37	161573.5735
38	156980.1353
39	153855.8826
40	151474.8899
41	148689.5423
42	146120.0778
43	142498.5577
44	139678.4358
45	137112.4184
46	134145.9785
47	131756.3821
48	129471.9382
49	126995.5565
50	124941.7191
51	123294.0616
52	121517.9911
53	119369.4836
54	117672.8457
55	115797.59
56	114225.6213
57	112799.6851
58	111973.1367
59	109439.7914
60	107907.8709
61	106330.8718
62	104683.514
63	103320.5121
64	101447.2036
65	100066.7886
66	98203.67267
67	96614.31662
68	94986.16453
69	93922.61534
70	92662.94516
71	91477.3455
72	90187.74644
73	89287.65802
74	88199.43972
75	86868.7338
76	85921.81235
77	84801.96404
78	83784.23901
79	82740.57244
80	81536.39076
81	79820.42454
82	79019.4183
83	77956.42869
84	77032.71598
85	76391.05668
86	75496.09352
87	74634.97189
88	73691.23353
89	73046.02733
90	71938.70801
91	71196.20415
92	70555.16463
93	69663.25803
94	68822.35329
95	67827.07633
96	67216.58986
97	66171.68452
98	65284.62043
99	64349.69592
100	63510.56987
101	63217.69396
102	62273.25487
103	61984.00712
104	61158.67088
105	60355.867
106	59648.17058
107	58834.86266
108	58127.48694
109	57413.50972
110	57147.84132
111	56709.02674
112	56267.05265
113	55521.34806
114	55211.17896
115	54422.0342
116	53955.25448
117	53325.03858
118	53011.72672
119	52776.1646
120	52591.7018
121	52141.33247
122	51770.91174
123	51095.01363
124	50690.96935
125	50103.75218
126	49548.13341
127	49032.51304
128	48539.9774
129	47958.3163
130	47600.27165
131	47070.03902
132	46883.11276
133	46738.03304
134	46163.45782
135	45837.86657
136	45557.04111
137	45078.46806
138	44722.96645
139	44521.1538
140	44023.32805
141	43622.29374
142	43136.3055
143	42688.9333
144	42350.6419
145	41852.64433
146	41384.60396
147	40952.25234
148	40565.20994
149	40085.59631
150	39702.90117
151	39559.01521
152	39282.46573
153	39152.41786
154	38814.08503
155	38469.13153
156	38026.86175
157	37753.26881
158	37474.38166
159	37257.84692
160	36900.86875
161	36486.91328
162	36139.75795
163	35841.61414
164	35382.45135
165	35302.67515
166	34963.37607
167	34724.58815
168	34302.49287
169	34095.76205
170	33979.78709
171	33797.21943
172	33494.73786
173	33176.49021
174	32975.14674
175	32639.33315
176	32320.62375
177	32011.56611
178	31640.38364
179	31550.43835
180	31310.99301
181	30980.4114
182	30661.46849
183	30338.22062
184	30083.44794
185	29787.7971
186	29599.20225
187	29246.35833
188	29009.6256
189	28811.62455
190	28504.54796
191	28243.43546
192	27994.28444
193	27796.02924
194	27527.16602
195	27288.47011
196	27041.94141
197	26857.84545
198	26657.51424
199	26546.30271
200	26302.56394
201	25908.21034
202	25751.14183
203	25658.67073
204	25522.66918
205	25329.02241
206	25112.66264
207	24877.14176
208	24564.63875
209	24447.06688
210	24228.36185
211	24152.7978
212	23894.63578
213	23648.18205
214	23431.20079
215	23234.72525
216	22964.28907
217	22848.53974
218	22566.78522
219	22370.48166
220	22169.70902
221	21973.22707
222	21801.77527
223	21643.43565
224	21474.64518
225	21206.53364
226	20978.01335
227	20873.59221
228	20658.57071
229	20472.61613
230	20365.68667
231	20108.99977
232	20034.1678
233	19844.21713
234	19612.52454
235	19384.22313
236	19138.5466
237	18914.01321
238	18830.42536
239	18725.62831
240	18645.44538
241	18403.25401
242	18268.48246
243	18113.58658
244	17891.71444
245	17699.74925
246	17559.25378
247	17415.05038
248	17273.82632
249	17153.05327
250	17060.67796
251	16945.22134
252	16887.42954
253	16759.86781
254	16627.16133
255	16516.51581
256	16384.36201
257	16220.493
258	16081.54277
259	15894.83274
260	15775.95248
261	15737.66378
262	15614.92785
263	15469.79688
264	15342.48651
265	15202.00663
266	15034.90713
267	14881.39592
268	14719.67909
269	14661.36367
270	14562.73454
271	14452.05147
272	14389.42106
273	14270.58375
274	14156.35272
275	14059.19456
276	13964.03832
277	13864.66113
278	13766.21742
279	13688.27802
280	13564.76474
281	13536.04052
282	13469.89033
283	13365.25817
284	13259.19229
285	13182.92326
286	13052.56676
287	12966.25427
288	12850.12532
289	12832.68289
290	12717.80882
291	12603.74361
292	12510.19993
293	12387.7338
294	12283.32906
295	12203.74929
296	12145.97693
297	12029.18385
298	12000.22143
299	11981.95
