iter	Passed	Remaining
0	136	40833
1	138	20684
2	140	13929
3	142	10545
4	144	8499
5	146	7165
6	148	6207
7	149	5462
8	151	4887
9	152	4426
10	154	4048
11	155	3732
12	157	3473
13	158	3238
14	159	3033
15	161	2861
16	162	2703
17	163	2562
18	164	2436
19	166	2324
20	167	2220
21	168	2127
22	169	2039
23	170	1960
24	171	1886
25	173	1825
26	174	1761
27	175	1708
28	177	1654
29	177	1600
30	179	1553
31	179	1507
32	181	1465
33	182	1425
34	183	1387
35	184	1350
36	185	1315
37	186	1285
38	187	1253
39	188	1223
40	189	1194
41	189	1165
42	190	1138
43	191	1114
44	192	1089
45	193	1065
46	194	1045
47	194	1023
48	195	1002
49	196	984
50	197	965
51	198	946
52	199	928
53	200	911
54	200	895
55	201	878
56	202	864
57	203	849
58	204	835
59	205	822
60	206	808
61	207	795
62	207	782
63	208	769
64	209	757
65	210	745
66	211	733
67	211	722
68	212	711
69	213	700
70	214	690
71	214	680
72	215	670
73	216	661
74	217	651
75	217	642
76	218	633
77	219	624
78	220	616
79	220	607
80	221	599
81	222	591
82	223	583
83	223	575
84	224	568
85	225	560
86	226	553
87	226	546
88	227	540
89	228	534
90	230	528
91	230	522
92	231	516
93	232	510
94	233	504
95	234	499
96	236	494
97	237	489
98	238	483
99	239	478
100	240	473
101	246	478
102	248	474
103	249	469
104	250	464
105	251	459
106	252	454
107	253	450
108	254	445
109	255	440
110	256	436
111	257	431
112	258	427
113	258	422
114	260	418
115	260	413
116	261	409
117	262	404
118	262	399
119	263	395
120	264	391
121	265	386
122	265	382
123	266	378
124	267	374
125	268	370
126	268	366
127	269	362
128	270	358
129	271	354
130	271	350
131	272	347
132	273	343
133	274	339
134	274	335
135	275	332
136	276	328
137	277	325
138	277	321
139	278	318
140	279	314
141	280	311
142	280	308
143	281	304
144	282	301
145	282	298
146	283	295
147	284	291
148	285	288
149	285	285
150	286	282
151	287	279
152	287	276
153	288	273
154	289	270
155	290	267
156	290	264
157	291	262
158	292	259
159	293	256
160	293	253
161	294	251
162	295	248
163	296	245
164	297	243
165	298	240
166	298	238
167	299	235
168	300	232
169	301	230
170	301	227
171	302	225
172	303	222
173	304	220
174	305	217
175	305	215
176	306	213
177	307	210
178	307	208
179	308	205
180	309	203
181	309	200
182	310	198
183	311	196
184	312	193
185	312	191
186	313	189
187	313	187
188	314	184
189	315	182
190	316	180
191	316	178
192	317	176
193	318	173
194	318	171
195	319	169
196	320	167
197	321	165
198	321	163
199	322	161
200	323	159
201	323	157
202	324	155
203	325	153
204	326	151
205	327	149
206	327	147
207	328	145
208	329	143
209	330	141
210	330	139
211	331	137
212	332	135
213	333	133
214	333	132
215	334	130
216	335	128
217	336	126
218	336	124
219	337	122
220	338	120
221	339	119
222	339	117
223	340	115
224	341	113
225	341	111
226	342	110
227	343	108
228	344	106
229	344	104
230	345	103
231	346	101
232	347	99
233	347	98
234	348	96
235	349	94
236	349	93
237	350	91
238	351	89
239	352	88
240	352	86
241	353	84
242	354	83
243	354	81
244	355	79
245	356	78
246	357	76
247	357	75
248	358	73
249	359	71
250	360	70
251	360	68
252	361	67
253	362	65
254	363	64
255	363	62
256	364	61
257	365	59
258	366	57
259	366	56
260	367	54
261	368	53
262	369	51
263	369	50
264	370	48
265	371	47
266	371	45
267	372	44
268	373	43
269	374	41
270	374	40
271	375	38
272	376	37
273	377	35
274	378	34
275	379	32
276	380	31
277	380	30
278	381	28
279	382	27
280	383	25
281	383	24
282	384	23
283	385	21
284	385	20
285	386	18
286	387	17
287	387	16
288	388	14
289	388	13
290	389	12
291	390	10
292	391	9
293	391	7
294	392	6
295	393	5
296	393	3
297	394	2
298	395	1
299	395	0
