month,actual,predicted,error,percent_error
1998-01,7267174.647640592,7258113.4716568785,9061.17598371394,0.12
1998-02,6735573.984524801,6728715.693432286,6858.291092514992,0.1
1998-03,7595827.05115413,7599156.8089699345,-3329.7578158043325,-0.04
1998-04,7341901.457344571,7336470.147282119,5431.310062452219,0.07
1998-05,9490265.480839046,9487011.913744982,3253.5670940633863,0.03
1998-06,7199788.544724158,7220327.938667951,-20539.39394379314,-0.29
1998-07,8285984.976128313,8279567.296344262,6417.679784051143,0.08
1998-08,7955680.817875005,7948758.735942375,6922.08193263039,0.09
1998-09,5737426.527988761,5751566.345206042,-14139.817217281088,-0.25
1998-10,7917961.436085146,7903840.458401614,14120.977683532052,0.18
1998-11,8066763.202700193,8074074.9364820495,-7311.733781856485,-0.09
1998-12,8510066.73660277,8498928.722514462,11138.014088308439,0.13
1999-01,8113777.4070572145,8106939.735255532,6837.671801682562,0.08
1999-02,8548935.486187708,8545343.795141147,3591.691046560183,0.04
1999-03,6450556.361142837,6434444.651779343,16111.709363494068,0.25
1999-04,7430897.256094607,7445434.010735213,-14536.754640606232,-0.2
1999-05,7282850.829644981,7266878.815516679,15972.014128302224,0.22
1999-06,7482328.134476703,7500383.308067596,-18055.173590892926,-0.24
1999-07,7104542.961965072,7088002.696965261,16540.264999810606,0.23
1999-08,8024364.623474221,8024263.505940332,101.11753388866782,0.0
1999-09,7385980.278131118,7385479.05081952,501.227311598137,0.01
1999-10,6645731.74735326,6643860.416284063,1871.3310691975057,0.03
1999-11,7094233.93717713,7088256.4131356785,5977.524041451514,0.08
1999-12,7236658.905399703,7224564.302018054,12094.603381649591,0.17
2000-01,8404680.490552241,8392216.99723187,12463.493320370093,0.15
2000-02,8206914.789537613,8199679.310931392,7235.478606221266,0.09
2000-03,7846553.4370696675,7846864.122517594,-310.68544792663306,-0.0
2000-04,6906094.597664803,6902837.492267623,3257.105397180654,0.05
2000-05,8599379.887371374,8593715.128507715,5664.758863659576,0.07
2000-06,7840813.034601978,7841934.780379669,-1121.7457776907831,-0.01
2000-07,8481540.304987695,8484094.748512583,-2554.4435248877853,-0.03
2000-08,7808981.3455988,7808587.940632689,393.4049661112949,0.01
2000-09,7179051.169960629,7181402.53596399,-2351.3660033605993,-0.03
2000-10,7606267.322619789,7592308.076309071,13959.246310718358,0.18
2000-11,6332655.965617154,6339075.4620284885,-6419.496411334723,-0.1
2000-12,7310073.350514619,7303118.794452191,6954.556062427349,0.1
2001-01,7547343.406227572,7538995.806860009,8347.599367562681,0.11
2001-02,7316693.925605672,7313765.513981668,2928.411624004133,0.04
2001-03,7638276.542843306,7637139.609579655,1136.9332636510953,0.01
2001-04,7572515.300066098,7586598.118139232,-14082.818073133938,-0.19
2001-05,6973145.920801758,6962745.769124032,10400.151677725837,0.15
2001-06,7696061.535071268,7709816.991167492,-13755.456096224487,-0.18
2001-07,7923823.153707376,7913638.858463965,10184.295243410394,0.13
2001-08,8108599.2045859415,8098663.2579642655,9935.946621675976,0.12
2001-09,8045540.631566887,8033034.518897223,12506.112669663504,0.16
2001-10,6837209.369968145,6840642.386344973,-3433.0163768278435,-0.05
2001-11,8333678.876237629,8332416.466730875,1262.4095067540184,0.02
2001-12,6602123.564597514,6602105.105764277,18.458833237178624,0.0
2002-01,6719637.456296007,6717260.272939131,2377.183356876485,0.04
2002-02,6676884.007883379,6672729.255691426,4154.752191953361,0.06
2002-03,6844826.853031224,6845404.205516039,-577.352484815754,-0.01
2002-04,6553599.857421348,6554431.931808259,-832.0743869114667,-0.01
2002-05,8323950.1599955475,8315892.656295519,8057.503700028174,0.1
2002-06,8697595.984969188,8698396.211380629,-800.226411441341,-0.01
2002-07,6527302.211780926,6525393.294327689,1908.917453236878,0.03
2002-08,7011173.248041443,7008498.420374172,2674.827667270787,0.04
2002-09,8360622.855300926,8366514.286100428,-5891.430799501948,-0.07
2002-10,6907965.378327501,6943432.527082305,-35467.148754804395,-0.51
2002-11,8129633.808640735,8143119.34279919,-13485.534158455208,-0.17
2002-12,8665792.278929234,8664982.580977503,809.6979517303407,0.01
2003-01,6954402.822732046,6952348.838538577,2053.9841934693977,0.03
2003-02,7731247.24893569,7728585.679109218,2661.5698264725506,0.03
2003-03,6847773.616101985,6844919.582366956,2854.033735028468,0.04
2003-04,6497817.223940066,6484762.882645272,13054.341294794343,0.2
2003-05,7968483.174819262,7969037.801394153,-554.6265748916194,-0.01
2003-06,6583059.017619332,6577361.301406353,5697.716212979518,0.09
2003-07,7959320.273255682,7951795.100324897,7525.1729307845235,0.09
2003-08,7867268.586482555,7859115.32040405,8153.266078504734,0.1
2003-09,7336351.334057068,7350087.487489308,-13736.153432239778,-0.19
2003-10,7078293.603903964,7089921.1105405865,-11627.506636622362,-0.16
2003-11,7987944.852145278,7982377.52425593,5567.327889347449,0.07
2003-12,7690184.201514484,7702439.4769786615,-12255.275464177132,-0.16
2004-01,7178371.477871093,7173310.548759968,5060.929111124948,0.07
2004-02,6350781.515897297,6356933.81429728,-6152.298399982974,-0.1
2004-03,8182604.62335544,8174472.656551497,8131.966803942807,0.1
2004-04,6042029.444836981,6046996.169064354,-4966.724227373488,-0.08
2004-05,7808817.098561431,7806245.961997382,2571.1365640489385,0.03
2004-06,7710190.573820917,7701091.953498105,9098.620322812349,0.12
2004-07,7596222.543272374,7586142.853105038,10079.690167335793,0.13
2004-08,6596063.091274422,6583464.25188755,12598.839386872016,0.19
2004-09,8199508.905240835,8181760.406403746,17748.498837088235,0.22
2004-10,7017200.839889266,7015171.921382134,2028.918507131748,0.03
2004-11,6685701.019081913,6694798.801330605,-9097.782248691656,-0.14
2004-12,8085208.99338415,8060609.575997664,24599.417386486195,0.3
2005-01,7062670.160856971,7070595.44431152,-7925.283454549499,-0.11
2005-02,5947955.73811915,5948540.977573665,-585.2394545152783,-0.01
2005-03,7741838.601934409,7750087.10861565,-8248.506681241095,-0.11
2005-04,8740799.482238622,8744383.005869338,-3583.5236307159066,-0.04
2005-05,7145593.786023741,7133847.291519301,11746.494504439645,0.16
2005-06,7515513.273779335,7529838.650167656,-14325.3763883207,-0.19
2005-07,7418709.293761995,7439429.35603098,-20720.062268985435,-0.28
2005-08,7172322.441005732,7154458.004996313,17864.43600941915,0.25
2005-09,8379423.737930496,8361381.695062783,18042.042867713608,0.22
2005-10,7565527.914223394,7572263.5625776835,-6735.648354289122,-0.09
2005-11,6268694.638783804,6259796.804691196,8897.834092607722,0.14
2005-12,6790232.307723143,6795681.976242698,-5449.66851955466,-0.08
2006-01,7146342.851016883,7145198.593914616,1144.2571022668853,0.02
2006-02,7071700.065150946,7078492.367969755,-6792.302818808705,-0.1
2006-03,7782155.502233747,7778738.688451738,3416.813782009296,0.04
